YAL005C,YAR002W
YAL005C,YCL028W
YAL005C,YDR192C
YAL005C,YLR335W
YAL005C,YLR347C
YAL007C,YBR036C
YAL007C,YBR183W
YAL007C,YCL025C
YAL007C,YEL063C
YAL007C,YGL200C
YAL007C,YGR060W
YAL007C,YHR026W
YAL007C,YHR110W
YAL007C,YHR140W
YAL007C,YJL117W
YAL007C,YNL130C
YAL007C,YPL076W
YAL007C,YPL264C
YAL011W,YDR334W
YAL011W,YGR002C
YAL011W,YNL107W
YAL011W,YOL012C
YAL011W,YOR269W
YAL015C,YDL029W
YAL015C,YDL059C
YAL015C,YDR214W
YAL015C,YGR282C
YAL015C,YJL088W
YAL015C,YJR068W
YAL015C,YPR110C
YAL016W,YDL134C
YAL016W,YDL188C
YAL016W,YGL190C
YAL016W,YML109W
YAL016W,YMR109W
YAL016W,YMR273C
YAL017W,YER054C
YAL017W,YER133W
YAL017W,YLR258W
YAL017W,YOL045W
YAL017W,YPR160W
YAL018C,YHR026W
YAL021C,YCR093W
YAL021C,YDL165W
YAL021C,YGR092W
YAL021C,YKR036C
YAL021C,YNL288W
YAL021C,YNR052C
YAL021C,YPL042C
YAL021C,YPR072W
YAL024C,YHR158C
YAL029C,YBR130C
YAL032C,YDR416W
YAL032C,YGL120C
YAL032C,YKL095W
YAL032C,YKL173W
YAL032C,YLR117C
YAL032C,YPL151C
YAL035W,YGL130W
YAL035W,YMR309C
YAL035W,YOR361C
YAL035W,YPR041W
YAL040C,YJL157C
YAL040C,YLR182W
YAL040C,YOR269W
YAL040C,YPL014W
YAL041W,YBR200W
YAL041W,YER114C
YAL041W,YHL007C
YAL041W,YJL157C
YAL041W,YLR229C
YAL043C,YDR195W
YAL043C,YDR228C
YAL043C,YDR301W
YAL043C,YER133W
YAL043C,YJL033W
YAL043C,YJR093C
YAL043C,YKL018W
YAL043C,YKL059C
YAL043C,YKR002W
YAL043C,YLR115W
YAL043C,YMR061W
YAL043C,YNL317W
YAR002W,YGL097W
YAR002W,YLR293C
YAR002W,YLR335W
YAR002W,YLR347C
YAR002W,YMR047C
YAR002W,YOR133W
YAR003W,YBR175W
YAR003W,YHR119W
YAR003W,YKL018W
